code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
948,RUA MOENCA,RUA MOENÇA - PECHINCHA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,NEUTRAL,
949,"RUA DA BATATA, N 510",RUA DA BATATA 510 - PENHA CIRCULAR - COMPLEXO MERCADO SÃO SEBASTIÃO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
950,"RUA DO ALPISTE, N 507",RUA DO ALPISTE 507 - PENHA CIRCULAR - COMPLEXO MERCADO SÃO SEBASTIÃO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
951,"RUA DO FEIJAO, N 37",RUA DO FEIJÃO 37 - PENHA CIRCULAR - COMPLEXO MERCADO SÃO SEBASTIÃO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
952,"RUA DA FARINHA, N 495",RUA DA FARINHA 495 - PENHA CIRCULAR - COMPLEXO MERCADO SÃO SEBASTIÃO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
953,"RUA DO ALHO, N 2002",RUA DO ALHO 2002 - PENHA CIRCULAR - COMPLEXO MERCADO SÃO SEBASTIÃO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
954,"RUA DO FEIJAO, N 948",RUA DO FEIJÃO 948 - PENHA CIRCULAR - COMPLEXO MERCADO SÃO SEBASTIÃO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,0.506
955,RUA DO ALPISTE (PROXIMA AO N913),RUA DO ALPISTE 913 - PENHA CIRCULAR - COMPLEXO MERCADO SÃO SEBASTIÃO,2,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
956,RUA NOSSA SENHORA DA PENHA,RUA NOSSA SENHORA DA PENHA - PENHA CIRCULAR,2,CV,,CV,ARMED,CV,CV,CV,CV,CV,
957,INACIO DIAS (RA-MEIER),RUA TORRES DE OLIVEIRA - PIEDADE,2,CV,,CV,ARMED,MILICIA,MILICIA,CV,CV,CV,
958,VILA OPERARIA LUIZ CARLOS PRESTES,RUA ANA QUINTÃO - PIEDADE,2,ADA,N,ADA,UNARMED,ADA,ADA,ADA,ADA,ADA,
959,"RUA JERONIMO PINTO, N 942","RUA JERONIMO PINTO, N 942 - PRAÇA SECA",2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,CV,
960,AMIGOS DA AEROBITA,RUA LAGOA DA PRATA PRAÇA SECA - COMPL BARÃO,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.571
961,AVENIDA TEIXEIRA DE CASTRO,AVN TEIXEIRA DE CASTRO RAMOS - COMPLEXO PARQUE ITAMBÉ,2,CV,S,CV,ARMED,CV,CV,CV,CV,CV,0.561
